Lemur,Group,Year,AgeClass,Sex,WetSeasonRain,Rainfall.Yr.Prior,Drought (Y/N),Pregnant,BabyYrPrior,Parasites.Mar2020,Weight,Tail.Crown.AVG,BMI,Total.Fat
Baobob,IV,2006,adult,M,,,no,no,,29,2.75,37.5,19.55555556,2
Bevo,II,2006,adult,M,,,no,no,,0,2.95,41.75,16.92423536,2.5
Cliff,I,2006,adult,M,,,no,no,,196,3.23,42.5,17.88235294,4.5
Fantasia,IV,2006,adult,F,,,no,yes,unknown,6,3.15,43.833,16.394877,3
Glen,III,2006,adult,M,,,no,no,,4,2.58,40.3,15.88581914,2
Manga,IV,2006,adult,F,,,no,unknown,unknown,13,2.95,46,13.94139887,2.5
Petunia,IV,2006,adult,F,,,no,yes,unknown,14,3.1,44.7,15.51481665,2.5
Quincy,III,2006,adult,M,,,no,no,,0,2.8,41.8,16.02527415,2
Vanilla,III,2006,adult,F,,,no,yes,unknown,2,3.27,42.2875,18.28621118,3
Abby,V,2007,adult,F,,,no,yes,unknown,2,3.09,41.475,17.96328209,2
Cliff,I,2007,adult,M,,,no,no,,95,3.1,42.5,17.16262976,2.5
Fantasia,IV,2007,adult,F,,,no,yes,yes,24,3.26,43.833,16.96739652,3
Glen,III,2007,adult,M,,,no,no,,25,2.9,40.3,17.85615329,3
Juliet,I,2007,adult,F,,,no,yes,no,2,3.19,42.625,17.55746855,2
Omby,II,2007,adult,M,,,no,no,,23,2.92,38.5,19.69978074,2.5
Petunia,IV,2007,adult,F,,,no,yes,yes,39,3.29,44.7,16.46572477,1.5
Quincy,III,2007,adult,M,,,no,no,,,2.8,41.8,16.02527415,3
Robert,IV,2007,adult,M,,,no,no,,,2.74,38,18.97506925,3
Savannah,II,2007,adult,F,,,no,yes,yes,0,3.02,42.04,17.08761806,2
Vanilla,III,2007,adult,F,,,no,yes,no,1,3.51,42.2875,19.62831843,1.5
Xavier,V,2007,adult,M,,,no,no,,2,3.64,44.375,18.48522119,2.5
Zebu,II,2007,adult,M,,,no,no,,7,3.09,41,18.38191553,1.5
Abby,V,2008,adult,F,,,no,yes,yes,,3.1,41.475,18.02141569,3.5
Belina,VIII,2008,adult,F,,,no,no,unknown,2,3.1,41.5,17.99970968,2.5
Emily,VI,2008,adult,F,,,no,yes,unknown,,3.45,42.937,18.71352927,3.5
